,The British Library,Cambridge University Library,Bodleian Library,Trinity College Dublin Library,The National Library of Scotland,The National Library of Wales
	[Users] - wayback sessionIDs,812,69,167,145,87,42
	Page Views - wayback,2962,109,535,146,946,120
	[Recognised Page Views] - httpd,1277,29,201,3,468,48
	Excluded Page Views - httpd,3132,57,280,208,723,57
	Page Views - httpd,4409,86,481,211,1191,105
	[Searches] - httpd,26,0,1,1,62,1
	[Distinct Searches] - httpd,20,0,1,1,22,1
	Different user agents - httpd,5,3,3,4,2,2
	Count of user agents - httpd,4435,86,482,212,1253,106
