,The British Library,Cambridge University Library,Bodleian Library,Trinity College Dublin Library,The National Library of Scotland,The National Library of Wales
	[Users] - wayback sessionIDs,351,2,10,1,30,0
	Page Views - wayback,1561,4,59,39,202,0
	[Recognised Page Views] - httpd,709,4,37,12,101,0
	Excluded Page Views - httpd,1796,34,76,14,148,0
	Page Views - httpd,2505,38,113,26,249,0
	[Searches] - httpd,1,0,1,0,1,0
	[Distinct Searches] - httpd,1,0,1,0,1,0
	Different user agents - httpd,1,1,1,1,1,0
	Count of user agents - httpd,2506,38,114,26,250,0
