,The British Library,Cambridge University Library,Bodleian Library,Trinity College Dublin Library,The National Library of Scotland,The National Library of Wales
	[Users] - wayback sessionIDs,634,3,65,0,22,0
	Page Views - wayback,2690,5,317,0,273,0
	[Recognised Page Views] - httpd,1567,3,156,0,169,0
	Excluded Page Views - httpd,5624,0,190,0,161,0
	Page Views - httpd,7191,3,346,0,330,0
	[Searches] - httpd,4,0,1,0,47,0
	[Distinct Searches] - httpd,4,0,1,0,27,0
	Different user agents - httpd,2,2,2,0,1,0
	Count of user agents - httpd,7195,3,347,0,377,0
