,The British Library,Cambridge University Library,Bodleian Library,Trinity College Dublin Library,The National Library of Scotland,The National Library of Wales
	[Users] - wayback sessionIDs,625,4,23,0,28,11
	Page Views - wayback,6026,24,324,0,162,27
	[Recognised Page Views] - httpd,4232,15,68,0,86,0
	Excluded Page Views - httpd,5610,3,211,0,109,0
	Page Views - httpd,9842,18,279,0,195,0
	[Searches] - httpd,55,0,0,0,18,0
	[Distinct Searches] - httpd,32,0,0,0,12,0
	Different user agents - httpd,2,1,1,0,1,0
	Count of user agents - httpd,9897,18,279,0,213,0
