,The British Library,Cambridge University Library,Bodleian Library,Trinity College Dublin Library,The National Library of Scotland,The National Library of Wales
	[Users] - wayback sessionIDs,414,10,40,4,15,0
	Page Views - wayback,1826,21,286,10,216,0
	[Recognised Page Views] - httpd,694,20,131,7,76,0
	Excluded Page Views - httpd,1722,5,310,10,137,0
	Page Views - httpd,2416,25,441,17,213,0
	[Searches] - httpd,12,0,8,0,0,0
	[Distinct Searches] - httpd,10,0,6,0,0,0
	Different user agents - httpd,1,1,1,1,1,0
	Count of user agents - httpd,2428,25,449,17,213,0
