,The British Library,Cambridge University Library,Bodleian Library,Trinity College Dublin Library,The National Library of Scotland,The National Library of Wales
	[Users] - wayback sessionIDs,459,1,5,0,40,0
	Page Views - wayback,1537,1,364,0,420,0
	[Recognised Page Views] - httpd,891,1,139,1,147,0
	Excluded Page Views - httpd,3666,0,158,0,363,0
	Page Views - httpd,4557,1,297,1,510,0
	[Searches] - httpd,150,0,4,5,1,0
	[Distinct Searches] - httpd,25,0,2,5,1,0
	Different user agents - httpd,1,1,1,1,1,0
	Count of user agents - httpd,4707,1,301,6,511,0
