,The British Library,Cambridge University Library,Bodleian Library,Trinity College Dublin Library,The National Library of Scotland,The National Library of Wales
	[Users] - wayback sessionIDs,334,10,15,5,30,12
	Page Views - wayback,1777,88,64,32,697,12
	[Recognised Page Views] - httpd,1077,72,37,24,217,12
	Excluded Page Views - httpd,2216,223,74,85,283,3
	Page Views - httpd,3293,295,111,109,500,15
	[Searches] - httpd,22,7,1,2,4,1
	[Distinct Searches] - httpd,14,6,1,2,4,1
	Different user agents - httpd,3,4,3,2,2,2
	Count of user agents - httpd,3315,302,112,111,504,16
