,The British Library,Cambridge University Library,Bodleian Library,Trinity College Dublin Library,The National Library of Scotland,The National Library of Wales
	[Users] - wayback sessionIDs,362,4,6,0,47,0
	Page Views - wayback,1595,12,34,0,701,0
	[Recognised Page Views] - httpd,884,9,11,0,308,0
	Excluded Page Views - httpd,2284,0,19,0,438,0
	Page Views - httpd,3168,9,30,0,746,0
	[Searches] - httpd,0,0,1,0,0,0
	[Distinct Searches] - httpd,0,0,1,0,0,0
	Different user agents - httpd,1,2,1,0,1,0
	Count of user agents - httpd,3168,9,31,0,746,0
