,The British Library,Cambridge University Library,Bodleian Library,Trinity College Dublin Library,The National Library of Scotland,The National Library of Wales
	[Users] - wayback sessionIDs,154,2,31,0,5,0
	Page Views - wayback,718,18,464,0,31,0
	[Recognised Page Views] - httpd,380,11,133,0,24,0
	Excluded Page Views - httpd,1033,1,383,0,19,0
	Page Views - httpd,1413,12,516,0,43,0
	[Searches] - httpd,0,0,0,0,0,0
	[Distinct Searches] - httpd,0,0,0,0,0,0
	Different user agents - httpd,1,1,1,0,1,0
	Count of user agents - httpd,1413,12,516,0,43,0
