,The British Library,Cambridge University Library,Bodleian Library,Trinity College Dublin Library,The National Library of Scotland,The National Library of Wales
	[Users] - wayback sessionIDs,231,28,28,31,66,11
	Page Views - wayback,1358,52,109,38,490,11
	[Recognised Page Views] - httpd,684,20,46,16,209,0
	Excluded Page Views - httpd,1224,146,21,0,431,0
	Page Views - httpd,1908,166,67,16,640,0
	[Searches] - httpd,11,0,0,6,11,0
	[Distinct Searches] - httpd,6,0,0,4,9,0
	Different user agents - httpd,4,3,3,3,1,0
	Count of user agents - httpd,1919,166,67,22,651,0
