,The British Library,Cambridge University Library,Bodleian Library,Trinity College Dublin Library,The National Library of Scotland,The National Library of Wales
	[Users] - wayback sessionIDs,672,4,6,0,16,3
	Page Views - wayback,3888,14,52,0,139,7
	[Recognised Page Views] - httpd,1346,13,15,2,57,5
	Excluded Page Views - httpd,3278,4,59,0,98,8
	Page Views - httpd,4624,17,74,2,155,13
	[Searches] - httpd,44,0,0,0,1,0
	[Distinct Searches] - httpd,20,0,0,0,1,0
	Different user agents - httpd,3,2,1,1,1,1
	Count of user agents - httpd,4668,17,74,2,156,13
