,The British Library,Cambridge University Library,Bodleian Library,Trinity College Dublin Library,The National Library of Scotland,The National Library of Wales
	[Users] - wayback sessionIDs,709,13,23,20,62,10
	Page Views - wayback,4282,17,33,20,397,10
	[Recognised Page Views] - httpd,2447,19,6,0,247,0
	Excluded Page Views - httpd,5479,7,33,0,283,0
	Page Views - httpd,7926,26,39,0,530,0
	[Searches] - httpd,17,0,0,0,14,0
	[Distinct Searches] - httpd,8,0,0,0,8,0
	Different user agents - httpd,2,1,1,0,1,0
	Count of user agents - httpd,7943,26,39,0,544,0
