,The British Library,Cambridge University Library,Bodleian Library,Trinity College Dublin Library,The National Library of Scotland,The National Library of Wales
	[Users] - wayback sessionIDs,480,2,23,0,26,6
	Page Views - wayback,2192,5,284,0,172,85
	[Recognised Page Views] - httpd,1248,4,150,0,88,0
	Excluded Page Views - httpd,5243,4,397,0,203,0
	Page Views - httpd,6491,8,547,0,291,0
	[Searches] - httpd,8,0,1,0,2,0
	[Distinct Searches] - httpd,8,0,1,0,2,0
	Different user agents - httpd,2,1,2,0,2,0
	Count of user agents - httpd,6499,8,548,0,293,0
