,The British Library,Cambridge University Library,Bodleian Library,Trinity College Dublin Library,The National Library of Scotland,The National Library of Wales
	[Users] - wayback sessionIDs,523,14,22,37,42,12
	Page Views - wayback,2314,56,29,263,505,12
	[Recognised Page Views] - httpd,1444,26,5,129,227,2
	Excluded Page Views - httpd,2698,59,0,2056,516,1
	Page Views - httpd,4142,85,5,2185,743,3
	[Searches] - httpd,13,1,2,7,19,0
	[Distinct Searches] - httpd,10,1,2,3,7,0
	Different user agents - httpd,4,2,1,2,1,1
	Count of user agents - httpd,4155,86,7,2192,762,3
